Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-3990,LKA136,"NTRK1,NTRK2,NTRK3",single,293.1,21,63.88,14,8.379186602870814,26,PD
X-3990,binimetinib,"MAP2K1,MAP2K2,MAPK",single,4.0,3,2.0,3,3.0,3,SD
X-3990,binimetinib-3.5mpk,MAPK,single,161.89999999999998,21,99.11999999999998,14,4.0,28,PD
X-3990,untreated,"UNKNOWN,Untreated",single,226.3,21,35.099999999999994,11,10.674650698602797,42,PD
X-4015,abraxane,Tubulin,single,298.4,15,96.3,12,8.273342354533153,15,PD
X-4015,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,-79.7,83,-42.741379310344826,97,97.0,97,PR
X-4015,BKM120 + LDE225,"panPI3K,SMO",combo,73.30000000000001,20,32.78,13,29.805194805194805,71,PD
X-4015,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,79.1,27,34.24000000000001,13,28.434782608695652,71,PD
X-4015,BYL719,PIK3CA,single,12.099999999999994,10,5.1200000000000045,14,31.475247524752476,62,SD-->PD
X-4015,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-11.0,72,13.75,13,97.0,97,SD-->PD
X-4015,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,111.9,21,49.38,14,15.133333333333336,52,PD
X-4015,HDM201,MDM2,single,-11.0,10,-4.659999999999997,14,42.0,42,SD-->PD
X-4015,"figitumumab""",IGF1R,single,514.6,22,87.0,12,5.870689655172413,22,PD
X-4015,"figitumumab"" + binimetinib","IGF1R,MAPK",combo,95.3,20,46.579999999999984,12,20.576687116564415,33,PD
X-4015,gemcitabine-50mpk,chemotherapy,single,-57.7,58,-26.17307692307692,90,90.0,90,PR
X-4015,INC424,JAK,single,260.9,21,71.6,14,9.387628865979382,35,PD
X-4015,INC424 + binimetinib,"JAK,MAPK",combo,-14.799999999999995,14,-4.159999999999997,14,43.18235294117647,70,SD-->PD
X-4015,WNT974,PORCN,single,272.7,20,95.3,12,7.499999999999999,28,PD
X-4015,LKA136,"NTRK1,NTRK2,NTRK3",single,314.9,22,53.76666666666668,11,10.77116704805492,25,PD
X-4015,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-33.2,89,-5.635714285714286,43,89.0,89,SD-->-->PD
X-4015,untreated,"UNKNOWN,Untreated",single,250.2,22,34.07499999999999,11,11.26470588235294,24,PD
X-4018,abraxane,Tubulin,single,162.0,20,10.050000000000011,11,14.7459584295612,34,PD
X-4018,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,-26.09999999999999,49,-1.6266666666666794,49,69.0,69,SD-->PD
X-4018,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,56.19999999999999,25,50.75,11,28.904918032786885,55,PD
X-4018,BKM120 + LDE225,"panPI3K,SMO",combo,85.0,21,13.424999999999995,11,21.65645514223195,67,PD
X-4018,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-45.5,51,-16.335000000000008,65,93.0,93,SD-->-->PD
X-4018,BYL719,PIK3CA,single,72.9,18,45.55000000000001,12,18.0,18,PD
X-4018,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,16.099999999999994,12,9.25,12,18.0,18,SD
X-4018,HDM201,MDM2,single,79.0,21,24.77500000000001,11,23.07920792079208,31,PD
X-4018,"figitumumab""",IGF1R,single,-21.700000000000003,34,13.992857142857147,44,44.0,44,SD
X-4018,"figitumumab"" + binimetinib","IGF1R,MAPK",combo,21.799999999999997,25,-34.25,12,25.0,25,SD
X-4018,gemcitabine-50mpk,chemotherapy,single,19.90000000000001,34,18.5,12,42.62130177514793,68,SD-->PD
X-4018,INC424 + binimetinib,"JAK,MAPK",combo,-19.200000000000003,14,-13.88000000000001,14,62.48552338530067,98,SD-->PD
X-4018,LEE011,"CDK4,CDK6,CDK4/6",single,176.5,20,27.58,13,17.864619678995115,20,PD
X-4018,WNT974,PORCN,single,288.3,23,47.139999999999986,13,11.562962962962963,30,PD
X-4018,LKA136,"NTRK1,NTRK2,NTRK3",single,234.3,23,37.120000000000005,13,13.47953216374269,30,PD
