[2025-10-04 00:28:35] Start training THERAPI_aligner model
[2025-10-04 00:28:35] random seed with 0
[2025-10-04 00:29:13] Start training THERAPI_aligner model
[2025-10-04 00:29:13] random seed with 0
[2025-10-04 00:29:17] Epoch 101, Train loss 78.7526, G_losses 51.5693, T_losses 26.1083
[2025-10-04 00:29:17] Epoch 102, Train loss 77.2039, G_losses 50.9125, T_losses 23.9683
[2025-10-04 00:29:17] Epoch 103, Train loss 77.5380, G_losses 50.3425, T_losses 27.7478
[2025-10-04 00:29:17] Epoch 104, Train loss 77.5235, G_losses 49.8619, T_losses 27.4911
[2025-10-04 00:29:17] Epoch 105, Train loss 80.3657, G_losses 50.5729, T_losses 29.7670
[2025-10-04 00:29:17] Epoch 106, Train loss 78.5242, G_losses 49.9219, T_losses 25.6598
[2025-10-04 00:29:17] Epoch 107, Train loss 94.9439, G_losses 61.6237, T_losses 28.2126
[2025-10-04 00:29:17] Epoch 108, Train loss 89.2155, G_losses 56.6390, T_losses 29.6523
[2025-10-04 00:29:17] Epoch 109, Train loss 86.7733, G_losses 55.9177, T_losses 33.0979
[2025-10-04 00:29:17] Epoch 110, Train loss 85.1565, G_losses 56.1864, T_losses 27.3140
[2025-10-04 00:29:17] Epoch 111, Train loss 82.7445, G_losses 54.4957, T_losses 26.5378
[2025-10-04 00:29:17] Epoch 112, Train loss 81.6076, G_losses 53.9618, T_losses 27.3330
[2025-10-04 00:29:17] Epoch 113, Train loss 80.4882, G_losses 51.5268, T_losses 30.5566
[2025-10-04 00:29:18] Epoch 114, Train loss 77.7668, G_losses 50.7869, T_losses 25.1798
[2025-10-04 00:29:18] Epoch 115, Train loss 78.9808, G_losses 52.6131, T_losses 28.3118
[2025-10-04 00:29:18] Epoch 116, Train loss 77.7908, G_losses 51.3520, T_losses 21.5748
[2025-10-04 00:29:18] Epoch 117, Train loss 78.8609, G_losses 50.8601, T_losses 30.5473
[2025-10-04 00:29:18] Epoch 118, Train loss 74.8085, G_losses 50.7770, T_losses 25.0143
[2025-10-04 00:29:18] Epoch 119, Train loss 72.6531, G_losses 50.2895, T_losses 23.7161
[2025-10-04 00:29:18] Epoch 120, Train loss 68.7754, G_losses 49.7273, T_losses 18.3173
[2025-10-04 00:29:18] Epoch 121, Train loss 64.9800, G_losses 49.5563, T_losses 14.5196
[2025-10-04 00:29:18] Epoch 122, Train loss 64.3054, G_losses 49.6065, T_losses 18.3940
[2025-10-04 00:29:18] Epoch 123, Train loss 68.7825, G_losses 53.0018, T_losses 15.2281
[2025-10-04 00:29:18] Epoch 124, Train loss 64.7791, G_losses 51.2019, T_losses 16.5193
[2025-10-04 00:29:18] Epoch 125, Train loss 72.0615, G_losses 55.0413, T_losses 17.4718
[2025-10-04 00:29:18] Epoch 126, Train loss 72.9472, G_losses 55.3419, T_losses 18.6318
[2025-10-04 00:29:18] Epoch 127, Train loss 68.8790, G_losses 53.7839, T_losses 15.7410
[2025-10-04 00:29:18] Epoch 128, Train loss 63.7925, G_losses 52.5477, T_losses 9.4626
[2025-10-04 00:29:18] Epoch 129, Train loss 60.1364, G_losses 50.9118, T_losses 9.8875
[2025-10-04 00:29:18] Epoch 130, Train loss 56.4502, G_losses 49.9441, T_losses 5.9519
[2025-10-04 00:29:18] Epoch 131, Train loss 55.7159, G_losses 48.5244, T_losses 5.6658
[2025-10-04 00:29:18] Epoch 132, Train loss 54.5835, G_losses 48.1483, T_losses 7.1411
[2025-10-04 00:29:18] Epoch 133, Train loss 89.9726, G_losses 51.8670, T_losses 66.5810
[2025-10-04 00:29:18] Epoch 134, Train loss 99.3520, G_losses 68.4236, T_losses 30.5830
[2025-10-04 00:29:18] Epoch 135, Train loss 94.5120, G_losses 61.2142, T_losses 35.6548
[2025-10-04 00:29:18] Epoch 136, Train loss 90.1791, G_losses 61.5745, T_losses 25.0638
[2025-10-04 00:29:18] Epoch 137, Train loss 84.8625, G_losses 61.4697, T_losses 19.1469
[2025-10-04 00:29:18] Epoch 138, Train loss 77.7073, G_losses 57.9038, T_losses 16.8167
[2025-10-04 00:29:18] Epoch 139, Train loss 73.7373, G_losses 55.0710, T_losses 20.5325
[2025-10-04 00:29:18] Epoch 140, Train loss 69.1173, G_losses 55.6074, T_losses 11.8452
[2025-10-04 00:29:18] Epoch 141, Train loss 66.8326, G_losses 53.7662, T_losses 13.8433
[2025-10-04 00:29:19] Epoch 142, Train loss 63.9385, G_losses 53.5167, T_losses 9.2366
[2025-10-04 00:29:19] Epoch 143, Train loss 61.1784, G_losses 53.4284, T_losses 5.4206
[2025-10-04 00:29:19] Epoch 144, Train loss 59.1802, G_losses 51.4876, T_losses 6.1438
[2025-10-04 00:29:19] Epoch 145, Train loss 57.0023, G_losses 51.6561, T_losses 4.0960
[2025-10-04 00:29:19] Epoch 146, Train loss 57.3937, G_losses 50.3445, T_losses 9.7026
[2025-10-04 00:29:19] Epoch 147, Train loss 56.1968, G_losses 50.6343, T_losses 6.8138
[2025-10-04 00:29:19] Epoch 148, Train loss 55.0446, G_losses 50.3111, T_losses 3.5245
[2025-10-04 00:29:19] Epoch 149, Train loss 55.8122, G_losses 49.2313, T_losses 8.8116
[2025-10-04 00:29:19] Epoch 150, Train loss 52.9212, G_losses 49.1227, T_losses 2.6831
[2025-10-04 00:29:19] Epoch 151, Train loss 51.6136, G_losses 48.2107, T_losses 2.4562
[2025-10-04 00:29:19] Epoch 152, Train loss 50.3838, G_losses 47.4423, T_losses 2.0474
[2025-10-04 00:29:19] Epoch 153, Train loss 49.2650, G_losses 46.7952, T_losses 1.6446
[2025-10-04 00:29:19] Epoch 154, Train loss 47.9004, G_losses 46.2939, T_losses 1.4427
[2025-10-04 00:29:19] Epoch 155, Train loss 47.0119, G_losses 45.6296, T_losses 1.2082
[2025-10-04 00:29:19] Epoch 156, Train loss 46.2536, G_losses 44.9790, T_losses 1.1426
[2025-10-04 00:29:19] Epoch 157, Train loss 45.5869, G_losses 44.4808, T_losses 0.9459
[2025-10-04 00:29:19] Epoch 158, Train loss 44.9284, G_losses 43.8899, T_losses 0.8765
[2025-10-04 00:29:19] Epoch 159, Train loss 44.3533, G_losses 43.4227, T_losses 0.7749
[2025-10-04 00:29:19] Epoch 160, Train loss 43.7832, G_losses 42.8838, T_losses 0.7449
[2025-10-04 00:29:19] Epoch 161, Train loss 43.2007, G_losses 42.4276, T_losses 0.6093
[2025-10-04 00:29:19] Epoch 162, Train loss 42.6728, G_losses 41.9138, T_losses 0.5977
[2025-10-04 00:29:19] Epoch 163, Train loss 42.1675, G_losses 41.4268, T_losses 0.5890
[2025-10-04 00:29:19] Epoch 164, Train loss 41.6811, G_losses 40.9747, T_losses 0.5791
[2025-10-04 00:29:19] Epoch 165, Train loss 41.1983, G_losses 40.5281, T_losses 0.5356
[2025-10-04 00:29:19] Epoch 166, Train loss 40.8271, G_losses 40.1070, T_losses 0.5911
[2025-10-04 00:29:19] Epoch 167, Train loss 40.3653, G_losses 39.6938, T_losses 0.5523
[2025-10-04 00:29:19] Epoch 168, Train loss 39.8772, G_losses 39.3047, T_losses 0.4645
[2025-10-04 00:29:20] Epoch 169, Train loss 39.3982, G_losses 38.8027, T_losses 0.4750
[2025-10-04 00:29:20] Epoch 170, Train loss 38.9390, G_losses 38.3911, T_losses 0.4328
[2025-10-04 00:29:20] Epoch 171, Train loss 38.4562, G_losses 37.9055, T_losses 0.4253
[2025-10-04 00:29:20] Epoch 172, Train loss 38.0016, G_losses 37.4595, T_losses 0.4487
[2025-10-04 00:29:20] Epoch 173, Train loss 37.5672, G_losses 37.0479, T_losses 0.4320
[2025-10-04 00:29:20] Epoch 174, Train loss 37.1201, G_losses 36.5827, T_losses 0.4275
[2025-10-04 00:29:20] Epoch 175, Train loss 36.7985, G_losses 36.2966, T_losses 0.4451
[2025-10-04 00:29:20] Epoch 176, Train loss 36.8756, G_losses 36.2852, T_losses 0.7048
[2025-10-04 00:29:20] Epoch 177, Train loss 37.1730, G_losses 36.3048, T_losses 0.8096
[2025-10-04 00:29:20] Epoch 178, Train loss 35.9440, G_losses 35.2417, T_losses 0.5204
[2025-10-04 00:29:20] Epoch 179, Train loss 35.8615, G_losses 35.1334, T_losses 0.8126
[2025-10-04 00:29:20] Epoch 180, Train loss 35.2587, G_losses 34.4104, T_losses 0.4837
[2025-10-04 00:29:20] Epoch 181, Train loss 34.8339, G_losses 34.2932, T_losses 0.5793
[2025-10-04 00:29:20] Epoch 182, Train loss 34.9161, G_losses 34.2545, T_losses 0.7196
[2025-10-04 00:29:20] Epoch 183, Train loss 33.9574, G_losses 33.2571, T_losses 0.4362
[2025-10-04 00:29:20] Epoch 184, Train loss 34.1607, G_losses 33.4520, T_losses 0.7325
[2025-10-04 00:29:20] Epoch 185, Train loss 35.3752, G_losses 34.4953, T_losses 1.6399
[2025-10-04 00:29:20] Epoch 186, Train loss 35.8141, G_losses 33.9189, T_losses 1.2369
[2025-10-04 00:29:20] Epoch 187, Train loss 33.8999, G_losses 33.0757, T_losses 0.8373
[2025-10-04 00:29:20] Epoch 188, Train loss 33.2609, G_losses 32.0867, T_losses 0.6076
[2025-10-04 00:29:20] Epoch 189, Train loss 33.0150, G_losses 32.2437, T_losses 0.8793
[2025-10-04 00:29:20] Epoch 190, Train loss 31.9579, G_losses 31.3168, T_losses 0.5533
[2025-10-04 00:29:20] Epoch 191, Train loss 31.9603, G_losses 30.9923, T_losses 0.5921
[2025-10-04 00:29:20] Epoch 192, Train loss 31.2973, G_losses 30.7688, T_losses 0.6394
[2025-10-04 00:29:20] Epoch 193, Train loss 31.4111, G_losses 30.6609, T_losses 0.8324
[2025-10-04 00:29:20] Epoch 194, Train loss 32.2153, G_losses 31.1881, T_losses 1.2533
[2025-10-04 00:29:20] Epoch 195, Train loss 31.5075, G_losses 30.0994, T_losses 0.7333
[2025-10-04 00:29:20] Epoch 196, Train loss 30.9214, G_losses 30.1492, T_losses 1.0905
[2025-10-04 00:29:20] Epoch 197, Train loss 31.6713, G_losses 30.4604, T_losses 1.4210
[2025-10-04 00:29:20] Epoch 198, Train loss 31.7898, G_losses 30.3295, T_losses 1.2201
[2025-10-04 00:29:20] Epoch 199, Train loss 30.6914, G_losses 29.2604, T_losses 0.7357
[2025-10-04 00:29:20] Epoch 200, Train loss 30.3381, G_losses 29.6298, T_losses 1.0807
[2025-10-04 00:29:32] Start training THERAPI_aligner model
[2025-10-04 00:29:32] random seed with 0
[2025-10-04 00:29:32] Epoch 1, Train loss 247.4192, G_losses 120.4054, T_losses 113.0834
[2025-10-04 00:29:32] Epoch 2, Train loss 213.6795, G_losses 111.7251, T_losses 99.3933
[2025-10-04 00:29:32] Epoch 3, Train loss 207.4046, G_losses 110.9214, T_losses 97.1152
[2025-10-04 00:29:32] Epoch 4, Train loss 205.6870, G_losses 110.8344, T_losses 93.9510
[2025-10-04 00:29:32] Epoch 5, Train loss 205.6086, G_losses 109.9776, T_losses 95.6229
[2025-10-04 00:29:32] Epoch 6, Train loss 204.8762, G_losses 108.7498, T_losses 96.9679
[2025-10-04 00:29:32] Epoch 7, Train loss 202.8489, G_losses 107.8548, T_losses 93.4968
[2025-10-04 00:29:32] Epoch 8, Train loss 202.6283, G_losses 107.0620, T_losses 95.9925
[2025-10-04 00:29:32] Epoch 9, Train loss 201.9475, G_losses 106.6409, T_losses 95.5920
[2025-10-04 00:29:33] Epoch 10, Train loss 200.6602, G_losses 106.1575, T_losses 92.5947
[2025-10-04 00:29:33] Epoch 11, Train loss 200.5921, G_losses 105.5380, T_losses 94.8836
[2025-10-04 00:29:33] Epoch 12, Train loss 200.1021, G_losses 105.0308, T_losses 94.9230
[2025-10-04 00:29:33] Epoch 13, Train loss 199.6059, G_losses 104.5461, T_losses 94.6695
[2025-10-04 00:29:33] Epoch 14, Train loss 198.7322, G_losses 104.0996, T_losses 92.7603
[2025-10-04 00:29:33] Epoch 15, Train loss 199.3136, G_losses 103.7811, T_losses 96.7498
[2025-10-04 00:29:33] Epoch 16, Train loss 198.1505, G_losses 103.7183, T_losses 93.7676
[2025-10-04 00:29:33] Epoch 17, Train loss 198.2839, G_losses 103.5873, T_losses 95.8697
[2025-10-04 00:29:33] Epoch 18, Train loss 197.7078, G_losses 103.4149, T_losses 95.1423
[2025-10-04 00:29:33] Epoch 19, Train loss 197.1531, G_losses 102.9594, T_losses 95.1493
[2025-10-04 00:29:33] Epoch 20, Train loss 195.7552, G_losses 102.5092, T_losses 91.8492
[2025-10-04 00:29:33] Epoch 21, Train loss 195.8431, G_losses 101.9360, T_losses 95.1156
[2025-10-04 00:29:33] Epoch 22, Train loss 194.4707, G_losses 101.5553, T_losses 93.1416
[2025-10-04 00:29:33] Epoch 23, Train loss 193.0218, G_losses 101.0991, T_losses 91.2547
[2025-10-04 00:29:33] Epoch 24, Train loss 191.6332, G_losses 100.6413, T_losses 90.5827
[2025-10-04 00:29:33] Epoch 25, Train loss 189.9157, G_losses 100.2587, T_losses 89.0527
[2025-10-04 00:29:33] Epoch 26, Train loss 187.8407, G_losses 99.4335, T_losses 88.0865
[2025-10-04 00:29:33] Epoch 27, Train loss 185.8157, G_losses 98.7279, T_losses 87.1045
[2025-10-04 00:29:33] Epoch 28, Train loss 183.2409, G_losses 98.6486, T_losses 84.0093
[2025-10-04 00:29:33] Epoch 29, Train loss 181.1108, G_losses 98.3535, T_losses 82.2744
[2025-10-04 00:29:33] Epoch 30, Train loss 179.1571, G_losses 98.3570, T_losses 79.9112
[2025-10-04 00:29:33] Epoch 31, Train loss 177.6088, G_losses 98.0125, T_losses 79.0007
[2025-10-04 00:29:33] Epoch 32, Train loss 176.1644, G_losses 98.1116, T_losses 77.5237
[2025-10-04 00:29:33] Epoch 33, Train loss 175.2419, G_losses 98.3688, T_losses 77.2246
[2025-10-04 00:29:33] Epoch 34, Train loss 173.8971, G_losses 98.4923, T_losses 75.4451
[2025-10-04 00:29:33] Epoch 35, Train loss 172.3522, G_losses 98.5046, T_losses 72.9178
[2025-10-04 00:29:33] Epoch 36, Train loss 171.4602, G_losses 98.6650, T_losses 72.8760
[2025-10-04 00:29:33] Epoch 37, Train loss 169.9461, G_losses 98.8588, T_losses 70.4483
[2025-10-04 00:29:33] Epoch 38, Train loss 168.1012, G_losses 98.5995, T_losses 67.4828
